,Other Monocytic,Alveolar Macrophage,CD206+ CD11b+ CCR4+ Mac,CD206+ FceRI+ CCR4+ Mac,CD206+ FceRI+ CCR4- Mac,CD14+ Monocytes,FceRI+ CD127+ CCR4+ Innate,FceRI+ CD127+ CCR4- Innate,FceRI+ CD127- Innate,Naive CD4 T cell,CD4 TRM,CD4 CCR5+ CD161+,CD4 EM,CD4 CM,CD4 Treg,Naive CD8 T cells,CD8 TRM,CD8 EM,CD8 CM,CD8 Treg,gdT cell,Other CD3+,B cells,NK or NK T cells
IMSA.008,2.508808307,2.485148331,0.887610379,0.855462258,2.355110669,-0.294144327,-0.657890981,0.425553086,1.419128274,-2.267328894,0.569672334,-0.433457939,1.157248937,0.438568454,-1.769490465,-2.145968037,-0.849285834,0.241483277,-1.106196248,-4.602703809,-1.383827985,-0.204147873,2.123929193,0.246718891
IMSA.010,1.186839846,0.241954239,1.510226987,1.709465017,2.357320306,-0.226523837,0.841824794,0.880185662,2.768598495,-1.947665739,2.125625414,-2.26611947,0.869374746,-0.762042073,-1.819832367,-1.970655257,0.154248659,-0.041495918,-1.80002974,-2.26611947,-2.042975919,-0.453740713,0.617283619,0.334252717
IMSA.011,1.066720611,0.254168574,-1.022789123,0.155133004,0.825290666,0.067854996,-0.200285921,0.224516806,0.408888244,-0.514824732,1.448131285,-0.125729753,0.928548448,0.135887406,-2.135790149,-0.567778278,-0.036617026,0.347908041,-0.828633109,-3.234402438,0.0236941,0.984465677,0.77844909,1.017193582
IMSA.013,1.259031229,0.671377006,-0.777629972,0.7775715,1.696645066,0.528092777,-0.243722541,0.000623218,0.537675328,-1.351303499,2.112741786,-1.273341958,0.72588325,-0.234833593,-2.371954246,-1.743345587,-0.333985953,0.108777032,-1.397394606,-3.016311263,0.016808543,1.528502123,1.59313548,1.186958881
IMSA.017,2.273144863,3.076113325,0.576185128,0.635650628,2.604851495,0.587066628,0.188074035,-0.011163996,1.092683907,-2.370444433,2.278742639,-0.994621371,1.034910959,-0.48590323,-2.022137738,-1.314391758,-1.358843521,0.204074376,-1.677297252,-4.449885974,-1.93758035,1.144825405,0.207243951,0.718702286
IMSA.020,3.335491671,4.487633481,0.917905185,1.339444118,2.875649792,-0.008856846,-1.081493649,-0.180707103,1.736521834,-2.547830718,1.607574101,-2.037005094,0.396608262,-0.73772211,-2.105997965,-1.449218429,-0.774763381,-0.279147176,-2.547830718,-3.646443006,-1.972466573,-0.062924068,2.6364466,0.099131792
IMSA.022,2.929636946,3.208932403,-0.012307489,1.608895265,3.308205954,1.082352225,0.534547598,1.532355188,2.387200254,-3.062764662,1.147509367,-1.846369338,-0.699554948,-1.190962486,-2.051163751,-1.558687266,-0.138259898,-0.838141111,-2.657299554,-3.755911843,-1.964152374,-0.735486957,2.493097682,0.278328795
IMSA.023,2.752047765,2.546481471,0.85926312,2.282104758,2.597290657,0.281884875,1.888451286,1.549387628,1.710290722,-2.951431634,1.05755308,-1.611657288,-0.190271607,-0.400567016,-2.404887927,-2.304804469,-0.648846541,-0.267922541,-1.852819345,-5.349326906,-2.05349004,-0.407684484,2.673569963,0.245384473
IMSA.026,1.773347269,0.277748811,1.509005574,1.243263829,1.943906,1.250184272,2.620547811,2.261994148,1.908240132,-1.991948415,-0.92318909,-2.627937182,-1.02967257,-2.299433115,-2.117111558,-1.934790001,-1.586483307,-0.55546431,-2.117111558,-2.810258739,-0.235105211,0.958663423,2.25317982,2.228423968
IMSA.027,1.761606806,1.337045293,-0.43470661,0.560365,2.028797773,-0.71151901,0.103606598,0.837767142,0.959751062,-3.629289742,2.423269904,-2.01985183,0.150344075,-0.648671106,-1.1697009,-0.46804303,1.046338908,0.845771759,-1.240526953,-2.796380619,-1.204487016,1.339828872,0.585796438,0.342887186
IMSA.028,2.772454139,3.058741187,1.776223957,0.556467285,2.887617748,0.564953899,0.130915418,0.658982848,1.448605031,-4.61401671,2.024551079,-1.810656329,0.190004335,-0.97643055,-1.669577731,-2.668106561,0.795394704,0.536380526,-1.132776621,-3.697725978,-2.362724911,-1.873176686,2.304183827,1.099716095
IMSA.031,2.447859819,2.598217991,-0.093415549,1.527021557,3.383063134,0.230469572,0.458932284,1.418312994,1.231101452,-2.38227045,1.050249403,-2.428790465,-0.160106924,-1.362439039,-2.039325699,-0.930018121,0.434770035,0.064021364,-1.503020989,-3.863874991,-1.976805342,0.230469572,0.690001901,0.975576491
IMSA.034,2.971799188,3.174348432,2.545433728,-0.997593849,3.391156165,1.277636361,1.057750141,1.73346992,1.631206981,-3.754434214,1.568575765,-1.92185275,-0.235453797,-0.784019748,-1.644221014,-1.706741371,-0.652092205,-0.370043951,-2.432678374,-3.754434214,-2.096206137,-0.878048698,0.872986581,1.003457059
IMSA.035,1.783632514,0.885071246,-0.034887292,0.554647625,2.210168777,-0.417005036,0.4648535,1.10318123,1.28002101,-3.675101574,1.978089115,-0.896282302,0.430842124,-0.428610582,-1.743580162,-1.952334976,1.149204142,1.063724997,-0.616394501,-2.719590129,-1.71500679,0.409192652,0.500822975,0.385341437
IMSA.036,3.887326739,3.988088087,1.257369927,1.792293103,3.19943996,0.020336261,1.170801911,2.082828244,2.664184019,-1.98619851,0.951639785,-2.193837875,0.284637885,-1.045215166,-2.273880583,-2.561562655,-1.667744779,0.011897392,-2.561562655,-3.660174944,-2.119729903,-0.468327791,-0.524680728,-0.247927726
IMSA.038,1.546171428,2.458697253,2.042699079,3.047926483,3.028202904,1.363432248,0.264819959,0.385106125,1.865952803,-2.14062252,1.880254891,-2.546087628,0.004333629,-0.301396513,-1.11398373,-1.629796896,-1.468528748,-1.311343165,-3.121451773,-4.625529169,-1.367432631,-1.084569845,1.804996435,1.018149381
IMSA.039,2.78611949,2.192403954,2.294090733,2.328409983,3.974203181,0.50679755,1.59285362,2.166298054,3.980191223,-3.338016705,1.402558118,-2.644869525,0.135501338,-1.197950542,-2.085253737,-2.527086489,-1.168963005,-0.853110055,-3.114873154,-3.625698778,-2.932551597,-0.393577726,0.641664949,-0.11914088
IMSA.040,1.382325606,3.07372966,2.362867791,2.490459962,2.781170046,1.375413136,-1.921580468,-1.212929101,0.671806825,-1.89080881,2.26285233,-1.603126737,0.055101339,-0.390104097,-0.742925472,-1.580653881,-1.475293366,-1.083251278,-2.391584098,-3.595556902,-0.424471741,-0.431489313,1.02121242,1.266836149
IMSA.044,3.48165574,2.755361371,2.298019623,1.673232972,3.300227041,-0.350565078,-0.24314483,0.001977628,3.530679825,-2.728051479,0.436016109,-3.538981696,0.90953468,-1.629439191,-2.527380784,-1.880753619,1.4881829,1.765566221,-2.092062713,-4.925276057,-1.314358144,0.186711732,-0.137784314,-0.459367938
IMSA.045,3.760933029,3.385500208,1.885057527,-0.942052035,4.483505424,-0.698429952,0.060099988,2.355061156,4.342026508,-0.150464781,0.632294558,-3.616200684,0.008140249,-1.824441215,-3.616200684,-2.517588395,0.201511642,0.595926914,-4.309347865,-3.210735576,-1.536759142,0.047360962,1.003858115,-0.339055951
IMSA.046,2.932931553,2.692324795,2.077453688,1.660630688,3.071794938,-1.13188528,0.27537421,0.676681308,2.904602719,-3.012198146,2.237162375,-2.724516074,1.2154463,-0.89193461,-1.990546899,-1.23913081,-0.518074841,0.027019239,-2.906837631,-3.263512575,-2.11838027,0.410978142,-0.852713897,0.467331079
IMSA.047,2.756600705,2.274897698,1.777188886,1.459796914,3.225717416,-0.343704373,0.115413449,1.120206982,3.225939219,-1.929794921,1.758122532,-2.990666882,1.858755819,-0.592771609,-2.885306366,-1.337743858,-0.968383754,0.722905185,-2.415302737,-5.187891459,-2.479841258,1.090629965,-0.46050364,0.205736087
IMSA.048,1.547380536,2.021599539,0.310617909,3.120530451,4.198868513,0.752450661,0.493820911,1.166945176,3.268609855,-2.851687564,0.670989715,-1.497141902,-0.574420279,-1.404768581,-2.628544013,-1.753075276,-0.194930658,-0.654462987,-2.733904529,0,-2.533233833,-1.673032568,0.663582274,0.283806652
IMSA.049,2.403675935,2.740878776,0.421296106,1.528443297,3.262044019,-0.640846503,-0.108760879,1.269002047,2.064445076,-1.825719136,1.406046234,-1.799050888,0.539713861,-0.516656122,-2.258583218,-1.092831626,-1.079928221,0.277095757,-1.970901145,-4.743489868,-1.69896743,0.476865957,1.277533482,0.068694488
IMSA.052,3.163733068,3.755840785,1.347716621,1.701261672,2.691451368,0.933282843,-0.185807977,0.608899404,1.844153508,-3.21663157,1.044034207,-1.696805817,0.461475787,-0.044547907,-1.795245889,-1.943665894,-1.696805817,-0.8858756,-2.166809446,-4.063929431,-1.498980073,0.073900244,1.06201671,0.507339204
IMSA.058,2.091892274,2.749821196,-0.510797411,0.316827684,2.312863621,-0.414569379,-1.23471625,0.148970547,0.839503347,0.723028356,1.883878728,-1.036890507,0.443158824,-0.584128684,-1.94891684,0.534215186,0.226801532,-0.742818637,-2.24371638,-3.314157792,-1.94891684,0.788485573,0.579361742,0.34082011
